release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
2023-01-25,2023,1,545807,235878,198709,205066,198588
2023-01-26,2023,1,545807,234505,198626,204812,198487
2023-01-27,2023,1,545807,234663,198812,204963,198688
2023-01-28,2023,1,545807,234390,198616,204798,198499
2023-01-29,2023,1,545807,234447,198496,204715,198393
2023-01-30,2023,1,545807,234008,198206,204411,198101
2023-01-31,2023,1,545807,233762,197814,203953,197718
2023-02-01,2023,2,545807,233793,197930,204015,197819
2023-02-02,2023,2,545807,233177,197563,203842,197464
2023-02-03,2023,2,545807,232284,197402,203458,197289
2023-02-04,2023,2,545807,231263,197583,203394,197489
2023-02-05,2023,2,545807,230631,197487,203321,197398
2023-02-06,2023,2,545807,230136,197378,203096,197284
2023-02-07,2023,2,545807,229599,197267,202954,197172
2023-02-08,2023,2,545807,229289,197022,202757,196901
2023-02-09,2023,2,545807,228952,196798,202497,196686
2023-02-10,2023,2,545807,228819,196599,202241,196505
2023-02-11,2023,2,545807,228764,196389,202059,196283
2023-02-12,2023,2,545807,228793,196584,202329,196506
2023-02-13,2023,2,545807,228615,196363,202047,196267
2023-02-14,2023,2,545807,228898,196477,202119,196404
2023-02-15,2023,2,545807,228384,196405,202129,196323
2023-02-16,2023,2,545807,228394,196614,202190,196526
2023-02-17,2023,2,545807,228201,196279,201917,196211
2023-02-18,2023,2,545807,228362,196472,202120,196380
2023-02-19,2023,2,545807,228681,196379,201912,196279
2023-02-20,2023,2,545807,228494,196373,201995,196288
2023-02-21,2023,2,545807,227755,195998,201627,195914
2023-02-22,2023,2,545807,227680,196495,202081,196405
2023-02-23,2023,2,545807,226163,196294,201497,196217
2023-02-24,2023,2,545807,221702,196397,201310,196313
2023-02-25,2023,2,545807,217903,196418,201165,196310
2023-02-26,2023,2,545807,217449,196190,200874,196108
2023-02-27,2023,2,545807,216983,196300,200762,196188
2023-02-28,2023,2,545807,216242,195780,200147,195690
2023-03-01,2023,3,545807,215543,195461,199700,195372
2023-03-02,2023,3,545807,214572,194989,199163,194907
2023-03-03,2023,3,545807,214560,195025,199145,194953
2023-03-04,2023,3,545807,213867,194149,198303,194093
2023-03-05,2023,3,545807,213531,194073,197904,193998
2023-03-06,2023,3,545807,212597,194136,197305,194090
2023-03-07,2023,3,545807,212092,193693,196872,193655
2023-03-08,2023,3,545807,212372,193953,197029,193890
2023-03-09,2023,3,545807,211760,193558,196578,193500
2023-03-10,2023,3,545807,211366,193228,196180,193158
2023-03-11,2023,3,545807,211110,193115,195939,193058
2023-03-12,2023,3,545807,210459,192966,195755,192913
2023-03-13,2023,3,545807,210009,192847,195707,192789
2023-03-14,2023,3,545807,209790,192766,195702,192708
2023-11-15,2024,11,545807,281953,194344,201541,194234
2023-11-16,2024,11,545807,281095,193800,200996,193689
2023-11-17,2024,11,545807,279497,193541,200240,193433
2023-11-18,2024,11,545807,276226,193849,200154,193720
2023-11-19,2024,11,545807,271390,193934,200151,193811
2023-11-20,2024,11,545807,267696,193998,199957,193873
2023-11-21,2024,11,545807,265493,193694,199635,193578
2023-11-22,2024,11,545807,260450,193466,199470,193367
2023-11-23,2024,11,545807,256429,193761,199427,193656
2023-11-24,2024,11,545807,255125,193566,199173,193474
2023-11-25,2024,11,545807,253091,194084,199491,193998
2023-11-26,2024,11,545807,253486,194202,199762,194097
2023-11-27,2024,11,545807,255414,194471,199820,194364
2023-11-28,2024,11,545807,260310,195318,200156,195227
2023-11-29,2024,11,545807,247080,195126,199582,195014
2023-11-30,2024,11,545807,246170,194803,199437,194699
2023-12-01,2024,12,545807,246084,194687,199353,194580
2023-12-02,2024,12,545807,245779,194464,198816,194369
2023-12-03,2024,12,545807,244266,194235,198294,194124
2023-12-04,2024,12,545807,242667,193732,197511,193632
2023-12-05,2024,12,545807,240269,193202,196599,193097
2023-12-06,2024,12,545807,238535,192352,195444,192251
2023-12-07,2024,12,545807,236199,191884,194483,191786
2023-12-08,2024,12,545807,234669,191382,193787,191256
2023-12-09,2024,12,545807,231388,190698,192843,190569
2023-12-10,2024,12,545807,229233,190502,192488,190372
2023-12-11,2024,12,545807,228574,190353,192529,190239
2023-12-12,2024,12,545807,227821,189993,192043,189857
2023-12-13,2024,12,545807,227050,189697,191806,189590
2023-12-14,2024,12,545807,226136,189587,191652,189470
2023-12-15,2024,12,545807,224773,188867,190837,188762
2023-12-16,2024,12,545807,223547,188867,190817,188746
2023-12-17,2024,12,545807,223037,188543,190469,188439
